"group","role","name","grade"
13,"number","cce87a74073d968cd12580ae8299f0a2",73
13,"number","6d67cd8d2f31238ca5a06d2311cf7bb0",87
14,"leader","821ba2457f7efeeed957b5005d8c3c21",87
14,"number","6446e2495ab5a1aebb354fe727b9fed1",72
14,"number","974e997b93f54e8e7282e0c56419c641",83
14,"number","e1e05f7023024354734b7e80822ca987",69
14,"number","ffca82cf2491646b685f0768641a85d0",84
14,"number","44a18a4262449509b4fa5309a6ce4f6d",77
14,"number","0dea830e9abed107263215c003fdfeae",81
14,"number","bb5b2a4977c5ab1baaeaa854b1acff06",74
15,"leader","977a39e4ada699e0ac408720f6e90a88",77
15,"number","c84cd1c6b08e5d82223d02c6fd6a12e3",78
15,"number","bb948321fd1b678fedd2ff463206aa2d",83
15,"leader","2cc86ac9a975fa1080b38dfb6397caba",90
15,"number","674541d080c49c15e2d0a8a2a6017842",89
15,"number","b268e786ac1983efac84e129dc852742",74
15,"leader","ffc26f4bc468e907bce71ee53af642d1",84
15,"number","c0439fefd9893c42810f774d6e79bc72",85
15,"number","577197d4e625086962eb542ffe44dfa3",83
16,"leader","776978a5ea223626de8c09373f53a094",86
16,"number","11050d653aceae05eed38aac824fa086",81
16,"number","0a9a1690e22ef5b09ff2e3c786271fdd",87
16,"number","9766153a4806ddac35ad8c94cdc6ef2f",82
16,"number","91683e1982465cbc1a0d20b9ab7a7128",78
16,"number","c56b0d6c9cfd2f4c0808fdde5ffadda3",83
16,"number","c7d4093366de7b0964945349f5153cd8",90
16,"number","d8f97b7832129966cbd02bd4e90026d4",84
16,"number","0f157d3610bbe0e5cabf45aae163ccc7",78
16,"number","2f29ebb697fcb02d1edd3534a8124dbb",86
17,"leader","45a976cdc76e05afd1053746baaf6974",82
17,"number","6a5a4f5e88ef81e8a7b50e3d4727bf30",71
17,"number","3608f68805aae41f58246cb257924492",80
17,"number","cdbb1f0b681aa94c28fd6f416d524a1f",79
17,"number","2b68ac3b23e5b94213fdb1543e088105",86
17,"number","1513c23c8ab2765907e9ff3962a38129",76
18,"leader","c7a6b5ba3405ee4c3499f13fca93d77a",87
18,"number","b9db46f968a6b5ea0b6ae44b510f7e49",88
18,"number","6a099cd5b0f11415fe4ffe9e22e9581b",86
18,"number","18e4473ad94b546853be772ea7456e3f",65
18,"number","5321c9bd343b8070d2752c069db1c1d0",91
18,"number","1c0014af7b70c6c2c2a79f722d5d040b",83
18,"number","619e45762c14eb6758609f6ce216ed0f",74
19,"leader","41a1d7309f8ce1f95ec12dff7c667c94",80
19,"number","057cb8bccecb5ec944d8ebe472f63186",83
19,"number","ca768afe68fca7ef199613acfab0464a",88
19,"number","9887641534802081430e1e8a4611c0cd",77
19,"number","07852bfb0faf31c7cb31398b7a3c7597",65
19,"number","489a14e04583477ed57c919183e5e0ce",86
19,"number","15af720cccfc242f8921cebb92bb0590",79
19,"number","4905a95411702aab4da7c0111ec05962",79
19,"number","aefa3d4ddaf34dd92fe8e28598afa337",70
20,"leader","0e8c4c74488e7719eaceabcb5647bb16",93
20,"number","1ad1ecbdd89c1ab9a368ce7d976d96d7",79
20,"number","7b33ffadc5d49985924095697aab9e99",88
20,"number","1418c8872592b159ed62dd4b38b4ff10",79
20,"number","2037a9a13677825aaf5bf03b69f85578",74
20,"number","7b60c291d93ee7f6342524cbfc96b354",78
20,"number","8622da4c6910b96d6839ea52ef48d67e",78
20,"number","74d6fca83b9310555df5e962b5a1c7e6",73
20,"number","f1fa307f26da9c559fce982e92e31090",71
21,"leader","651008c0c084bf72287a0812085a0d79",77
21,"number","aee050f2cde02629df62d06226792e25",86
21,"number","9481daf7b517ec4740661d1a4c45a268",71
21,"number","34abe553d0a5b9b38fbef1a011382f9a",78
21,"number","7e321ab3e0d437125880f9ca830b5c5c",92
21,"number","2e7b20740b2cfffda45479c856eaeaaa",83
21,"number","3de860cc7231414b354a572097ea05b7",86
21,"number","6c59f0c1faf6732515ada9b6faeb1759",61
21,"number","728a8d07100862b6be183ff4d72c46e0",73
21,"number","167ae239f2b6172b2701b529a4b3e885",77
22,"leader","8412c6f137e28df4a755785412d7c69a",81
22,"number","197efbf5d5f9ee300df7f164e70011c5",76
22,"number","fad4e087352812b21f885f82462f5fe3",76
22,"number","9114cc52786323676a5db116cdee2d11",85
22,"number","51763b5c29e0d9afdf50407c610e428e",86
22,"number","468227f6be376c5c37bc4111e2094091",79
22,"number","81e0601c6255c3b7c40c210872355201",83
23,"leader","9cf0cdaf2248938112aad0404fe2deba",79
23,"number","e2d6d541656483b0afd268c4fa2b20b8",83
23,"number","2abe7f12b8bbadd8ace5ed8936bc82f8",72
23,"number","24f15d334c474ffe37ed60d0ba61bbe4",91
23,"number","18fa5590aa7edff0157f34a05fc66b43",84
23,"number","fc0b3e3914d94aef44ad7115d1872042",91
23,"number","e6d02754b11133e4c1f2cca99ba13888",94
23,"number","65f1929738a3e3ed836a86e11e548ae3",90
23,"number","5274c73dad166b4067d1d36df65cb2bb",66
24,"leader","aa7c16de74186bdc5d147a97b3dc3c45",83
24,"number","80abccdb57e1a0c98acf4ce79f0c49be",72
24,"number","89a3d87386e15457608cb1e85d3fcae8",85
24,"number","a24fb99a001cfe4ec85fe69dea01283b",87
24,"number","c16207ff5e54d1eb1066cc3adaa7ad6d",91
24,"number","6d7314a8d00829efda6f02840ab19b27",85
24,"number","1f9342f70d571dbf67449b95e5ec1529",78
24,"number","2889974c597b35718df66b8380fad4c9",81
